Year,Month,Day,DOY,Date,Station,Depth,time_towed_min,distance_towed_km,DO_mgperL,temp_c,salinity_ppt,PDO,Avg.Upwelling.INAex,Alligatorfish.spp.,Arrowtooth.FlouNAer,Big.Skate,Big.skate,Bigeye.Poacher,Black.Rockfish,Blackbelly.Eelpout,Blackfin.Poacher,SleNAer.Sole,Warty.Poacher,Wattled.Eelpout,Whitebait.Smelt,Whitebarred.Prickleback,Yellowtail.Rockfish,Notes
2012,8,7,220,8/7/2012,NH15,123.8,10,546,1.22415,7.2643,33.8893,-1.93,76,0,0,0,0,0,0,0,0,76,46,22,0,0,0,NA
2022,8,7,220,8/7/2012,NH20,120,8,372,1.2,7.3,NA,-1.93,76,0,0,0,0,0,0,0,0,88,28,23,0,1,0,NA
2013,8,1,213,8/1/2013,NH15,107.9,10,626,1.74521,7.319,33.8481,-1.04,30,0,0,0,0,0,0,0,0,6,44,0,0,0,0,NA
2012,9,18,262,9/18/2012,NH15,106.6,10,598,1.14459,7.6287,33.7037,-2.21,74,0,0,0,0,0,0,2,0,337,32,0,0,0,0,NA
2013,6,28,179,6/28/2013,NH15,105.3,13,838,1.48007,7.061,33.8942,-0.78,41,0,10,0,0,0,0,0,0,0,34,0,0,0,0,NA
2008,8,11,224,8/11/2008,NH10,81.6,10,606.1757088,0.9784,7.3419,NA,-1.7,35,NA,0,NA,0,0,0,0,0,70,47,0,0,0,0,NA
2010,8,11,223,8/11/2010,NH10,81.3,11,692,1.92676,6.8,NA,-1.27,64,0,0,0,0,0,0,0,0,3,27,0,0,0,0,NA
2010,7,20,201,7/20/2010,NH10,81,10,590,2.15205,6.8,NA,-1.05,131,0,0,0,0,0,0,0,0,0,44,0,0,0,0,NA
2008,7,26,208,7/26/2008,NH10,81,10,604.8980097,1.7574,7.2722,NA,-1.67,62,0,0,0,0,0,NA,0,0,0,30,0,0,0,0,NA
2012,7,27,209,7/27/2012,NH10,80.5,10,528,1.78866,7.215,33.8835,-1.52,126,0,0,0,0,0,0,0,0,9,39,0,0,0,0,NA
